creative_id,campaign_id,advertiser_id,creative_name,format_id,width,height,duration_seconds,file_url,file_size_kb,status,approval_status,brand_safety_scan_status,brand_safety_score,click_through_url,vast_tag_url,companion_banner_url,language,version,created_at,updated_at
cre_001,camp_001,adv_cpg_001,Acme Energy - Game Day 30s,video_standard_30s,1920,1080,30,https://cdn.acme.com/creatives/gameday_30s_v1.mp4,52000,active,approved,passed,98,https://acmeenergy.com/gameday,https://vast.acme.com/gameday30,https://cdn.acme.com/companions/gameday_300x250.jpg,en_US,1.0,2025-01-10T09:00:00Z,2025-01-12T14:30:00Z
cre_002,camp_001,adv_cpg_001,Acme Energy - Game Day 15s,video_standard_15s,1920,1080,15,https://cdn.acme.com/creatives/gameday_15s_v1.mp4,28000,active,approved,passed,98,https://acmeenergy.com/gameday,https://vast.acme.com/gameday15,https://cdn.acme.com/companions/gameday_300x250.jpg,en_US,1.0,2025-01-10T09:15:00Z,2025-01-12T14:30:00Z
cre_003,camp_001,adv_cpg_001,Acme Energy - Athlete Spotlight 30s,video_standard_30s,1920,1080,30,https://cdn.acme.com/creatives/athlete_30s_v1.mp4,55000,active,approved,passed,97,https://acmeenergy.com/athletes,https://vast.acme.com/athlete30,https://cdn.acme.com/companions/athlete_300x250.jpg,en_US,1.0,2025-01-11T10:00:00Z,2025-01-13T11:00:00Z
cre_004,camp_001,adv_cpg_001,Acme Energy - Bumper 6s,video_standard_6s,1920,1080,6,https://cdn.acme.com/creatives/bumper_6s_v1.mp4,12000,active,approved,passed,99,https://acmeenergy.com,https://vast.acme.com/bumper6,,en_US,1.0,2025-01-11T10:30:00Z,2025-01-13T11:00:00Z
cre_005,camp_001,adv_cpg_001,Acme Energy - Vertical Story 15s,video_vertical_15s,1080,1920,15,https://cdn.acme.com/creatives/vertical_15s_v1.mp4,32000,active,approved,passed,97,https://acmeenergy.com/gameday,https://vast.acme.com/vertical15,,en_US,1.0,2025-01-12T08:00:00Z,2025-01-14T09:00:00Z
cre_006,camp_003,adv_auto_001,Premier SUV - Mountain Drive 60s,video_standard_60s,1920,1080,60,https://cdn.premiermotors.com/creatives/mountain_60s_v1.mp4,145000,active,approved,passed,99,https://premiermotors.com/suv,https://vast.premier.com/mountain60,https://cdn.premiermotors.com/companions/mountain_300x250.jpg,en_US,1.0,2025-01-14T11:00:00Z,2025-01-16T15:00:00Z
cre_007,camp_003,adv_auto_001,Premier SUV - Mountain Drive 30s,video_standard_30s,1920,1080,30,https://cdn.premiermotors.com/creatives/mountain_30s_v1.mp4,72000,active,approved,passed,99,https://premiermotors.com/suv,https://vast.premier.com/mountain30,https://cdn.premiermotors.com/companions/mountain_300x250.jpg,en_US,1.0,2025-01-14T11:30:00Z,2025-01-16T15:00:00Z
cre_008,camp_003,adv_auto_001,Premier SUV - City Luxury 30s,video_standard_30s,1920,1080,30,https://cdn.premiermotors.com/creatives/citylux_30s_v1.mp4,68000,active,approved,passed,98,https://premiermotors.com/suv/city,https://vast.premier.com/city30,https://cdn.premiermotors.com/companions/city_300x250.jpg,en_US,1.0,2025-01-15T09:00:00Z,2025-01-17T10:00:00Z
cre_009,camp_003,adv_auto_001,Premier SUV - Family Adventure 30s,video_standard_30s,1920,1080,30,https://cdn.premiermotors.com/creatives/family_30s_v1.mp4,71000,active,approved,passed,99,https://premiermotors.com/suv/family,https://vast.premier.com/family30,https://cdn.premiermotors.com/companions/family_300x250.jpg,en_US,1.0,2025-01-15T09:30:00Z,2025-01-17T10:00:00Z
cre_010,camp_003,adv_auto_001,Premier SUV - Tech Features 15s,video_standard_15s,1920,1080,15,https://cdn.premiermotors.com/creatives/tech_15s_v1.mp4,35000,active,approved,passed,98,https://premiermotors.com/suv/technology,https://vast.premier.com/tech15,,en_US,1.0,2025-01-16T14:00:00Z,2025-01-18T08:00:00Z
